,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
455,4014750027,37-60 88th Street,Jackson Heights,11372
456,4015700046,43-31 Ithaca Street,Elmhurst,11373
457,1021800028,536 Fort Washington Avenue,New York,10033
458,3062400037,7602 21 Ave,Brooklyn,11214
459,4003420024,36-06 30th Street,Long Island City,11106
460,4043710008,29-50 137th Street,Flushing,11354
461,4043710008,29-50 137th Street,Flushing,11354
462,4008600001,20-70 27th Street,Astoria,11105
463,4008600001,20-70 27th Street,Astoria,11105
464,4008590001,20-82 28th Street,Astoria,11105
465,4008590001,20-82 28th Street,Astoria,11105
466,1-01581-0045,510 East 85 Street,New York,10028
467,1-01871-0052,250 WEST 100TH STREET,NEW YORK,10025
468,3-05150-0021,770 Ocean Avenue,Brooklyn,11226
469,1-01251-0063,304 West 92nd Street,New York,10025
470,1-01244-0072,441-451 West End Avenue,New York,10024
471,3074220101,2813 Ocean Avenue,Brooklyn,11235
472,3074220101,2813 Ocean Avenue,Brooklyn,11235
473,2028920011,1818 Anthony Ave.,Bronx,10457
474,2024780030,80 McClellan St.,Bronx,10452
475,2024560181,185 McClellan St.,Bronx,10456
476,2024560175,1181 Sheridan Ave.,Bronx,10456
477,1020530014,281 Edgecombe Ave.,New York,10031
478,2028540056,2025 Walton Ave.,Bronx,10453
479,2028280030,1915 Morris Ave.,Bronx,10453
480,2030220010,2390 Tiebout Ave.,Bronx,10458
481,2032900042,2805 Pond Place,Bronx,10458
482,2028050001,1860 Morris Ave.,Bronx,10453
483,2-03292-0062,311 Bedford Park Boulevard,Bronx,10458
484,4-03079-0086,62-82 Saunders St,Queens,11374
485,3051000091,65 East 19th Street,Brooklyn,11226
486,3051000091,65 East 19th Street,Brooklyn,11226
487,3050990040,50 East 19th Street,Brooklyn,11226
488,3050990040,50 East 19th Street,Brooklyn,11226
489,3051620038,1911 Dorchester Road,Brooklyn,11226
490,3051620038,1911 Dorchester Road,Brooklyn,11226
491,3052210043,2110 Newkirk Avenue,Brooklyn,11226
492,3052210043,2110 Newkirk Avenue,Brooklyn,11226
493,1014840001,1360 York Avenue,New York,10021
494,1014840001,1360 York Avenue,New York,10021
495,1011450025,115 West 73rd Street,New York,10023
496,1-01585-0001,1680 York Ave,New York,10128
497,1-00629-0044,305 West 13th Street,New York,10014
498,1-01473-0038,420 East 79 Street,New York,10075
499,1-01252-0001,200 Riverside Drive,New York,10025
