,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
501,1008720035,166 3 AVENUE,New York,10003
502,1015270028,1571 2 AVENUE,New York,10028
503,1005720038,20 5 Avenue,New York,10011
504,3002210020,80 Cranberry Street,Brooklyn,11201
505,1015340012,217 EAST 88 STREET,New York,10128
506,1013620012,20 Beekman Place,New York,10022
507,1011210017,25 West 68 STREET,New York,10023
508,1013120033,157 EAST 57 STREET,New York,10022
509,1018750036,892 AMSTERDAM AVENUE,New York,10025
510,1008910039,165 EAST 35 STREET,New York,10016
511,1010290036,910 7 AVENUE,New York,10019
512,1011430060,166 WEST 72 STREET,New York,10023
513,1008940032,137 EAST 38 STREET,New York,10016
514,1008160042,92 5 AVENUE,New York,10011
515,1010080008,139 WEST 55 STREET,New York,10019
516,1011440056,160 WEST 73 STREET,New York,10023
517,1012160140,120 WEST 86 STREET,New York,10024
518,1013000050,140 EAST 46 STREET,New York,10017
519,1007720018,235 WEST 22 STREET,New York,10011
520,1015680001,1700 1 AVENUE,New York,10128
521,1014240010,219 EAST 69 STREET,New York,10021
522,1-02222-0025,130 Post Avenue,New York,10034
523,1-02002-0050,602 West 137th Street,New York,10031
524,1-02096-0034,600 West 150 Street,New York,10031
525,1-02134-0095,601 West 156th Street,New York,10032
526,1-02115-0005,550 West 157th Street,New York,10032
527,1-02137-0110,601 West 163rd Street,New York,10032
528,1-02137-0168,130 Fort Washington Avenue,New York,10032
529,1-02142-0109,630 West 173rd Street,New York,10032
530,1-02142-0237,700 West 175 Street,New York,10033
531,1-02144-0053,601 West 176 St,New York,10033
532,1-02163-0032,660 West 180 Street,New York,10033
533,1-02222-0001,189-199 Sherman Avenue,New York,10034
534,1-02222-0007,201-211 Sherman Avenue,New York,10034
535,1-02222-0017,221 Sherman Avenue,New York,10034
536,1-02137-0046,c/o SDG Management Corp.,New York,10106
537,3-00231-0019,111 Hicks Street,Brooklyn,11201
538,,539 West 163rd Street,New York,10032
539,,2704 Kingsbridge Terrace,Bronx,10463
540,1003030025,61 Chrystie St,Queens,11354
541,1015310028,244 East 86th Street,New York,10028
542,,309 2 Street,Brooklyn,11215
543,2043407502,2385 Barker Avenue,Bronx,10467
544,3-00179-7503,30 Third Avenue,Brooklyn,11217
545,3023070001,250 N 10th St,Brooklyn,11211
546,4-06021-0029,198-39 32nd Avenue,Little Neck,11363
547,,144-12 34th Avenue,Flushing,11354
548,3009697503,309 2 Street,Brooklyn,11215
549,1-01073-7502,530 West 45th Street,New York,10036
550,2043290012,1055 Esplanade Avenue,Bronx,10461
551,3002850017,100 Atlantic Avenue,Brooklyn,11201
552,1008397502,66 West 38th Street,New York,10018
553,1010640036,400 West 55th Street,New York,10019
554,1-01073-7501,550 West 45th Street,New York,10036
555,1-01073-7503,510 West 45th Street,New York,10036
556,2001070024,250 Ashland Place,Brooklyn,11217
557,1009350005,530 Second Avenue,New York,10016
558,1009270009,315 East 21st Street,New York,10010
559,2-03130-0020,1001-1005 E. Tremont Ave.,Bronx,10460
560,2-03130-0020,999 East Tremont Avenue,Bronx,10460
561,2-03136-0001,1001-1005 East 178th Street,Bronx,10460
562,2-03130-0020,990-1000 178th Street,Bronx,10460
563,2-02987-0025,950 Jennings Street,Bronx,10460
564,2-03070-0030,2111 Hughes Avenue,Bronx,10457
565,2-03179-0052,2075 Walton Avenue,Bronx,10453
566,2-03209-0009,54 Evelyn Place,Bronx,10468
567,2-03098-0001,2130 Crotona Avenue,Bronx,10457
568,2-03291-0024,321 East 198th Street,Bronx,10458
569,2-03291-0016,323 East 198th Street,Bronx,10458
570,2-03291-0008,325 East 198th Street,Bronx,10458
571,2-03293-0135,240 East 194th Street,Bronx,10458
572,2-03324-0030,21 West Mosholu Pkwy North,Bronx,10467
573,2-03130-0020;2-03131-0020;2-03136-0001,1 West Farms Square Plaza,Bronx,10460
574,2-03031-0021,2350 Webster Avenue,Bronx,10460
575,2-03187-0047,2323 Walton Avenue,Bronx,10468
576,2-03131-0020,999 East 178th Street,Bronx,10460
577,2-03136-0001,1000 - 1010 East 179th Street (Building 7&8),Bronx,10460
578,2-03294-0030,2690-2694-2698 Briggs Avenue,Bronx,10458
579,2-03170-0027,100 East 182nd Street,Bronx,10453
580,2-03195-0016,38 West 182nd Street,Bronx,10453
581,2-03152-0029,2385 Valentine Avenue,Bronx,10458
582,2-03206-0022,56-58 West 180th Street,Bronx,10453
583,2-03179-0047,2085 Walton Ave,Bronx,10453
584,2-03172-0008,2314 Morris Ave,Bronx,10468
585,2-03209-0045,2333 Grand Ave,Bronx,10468
586,2-03182-0004,2240 Walton Ave,Bronx,10453
587,2-04048-0014,1830 Amethyst Street,Bronx,10462
588,2-03293-0039,2600 Briggs Ave,Bronx,10458
589,2-03197-0009,2285 Davidson Ave,Bronx,10468
590,2-03225-0022,2295 Andrews Ave,Bronx,10468
591,2-03213-0014,2432 University Ave,Bronx,10468
592,2-03183-0037,2356 Walton Avenue,Bronx,10468
593,2-03182-0019,2270 Walton Ave,Bronx,10453
594,2-03152-0003,2380 Ryer Ave,Bronx,10458
595,2-03111-0009,814 East 181st Street,Bronx,10460
596,1-01164-0047,240 West 73rd Street,New York,10017
597,1-01230-0133,464-466 Amsterdam & 200-210 West 83rd,New York,10024
598,1-01519-0032,173 East 90th Street,New York,10128
599,1-01140-0032,182-188 Columbus Avenue,New York,10023
600,1-01121-0063,181-199 Columbus Avenue,New York,10021
601,1-00798-0054,118-122 West 23rd Street,New York,10011
602,1-00835-0015,35-39 West 33rd Street,New York,10001
603,3-01322-0032,486 Brooklyn Avenue,Brooklyn,11225
604,3-01189-0001,901 Washington Avenue,Brooklyn,11225
605,3-01321-0021,350 Sterling Street,Brooklyn,11225
606,3-05124-0001,645 Ocean Avenue,Brooklyn,11226
607,1-00557-0017,60 E 12th Street,New York,10003
608,1-01241-0061,698 West End Avenue,New York,10025
609,1-02139-0181,251 Ft Washington Avenue,Brooklyn,10032
610,1-01232-0055,2333 Broadway,New York,10024
611,1-00635-0026,772 Greenwich Street,New York,10014
612,1-01892-0016,949 West End Avenue,New York,10025
613,1-01993-0015,3105 Broadway,New York,10027
614,3-05123-0025,700 Ocean Avenue,Brooklyn,11226
615,3-05163-0041,855 Ocean Avenue,Brooklyn,11226
616,1-00882-0056,142 EAST 27th   STREET,New York,10016
617,1-01146-0008,151 WEST 74th   STREET,New York,10023
618,1-01873-0010,2659 BROADWAY,New York,10025
619,1-01994-0066,189 CLAREMONT AVENUE,New York,10027
620,1-01891-0054,921 WEST END AVENUE,New York,10025
621,3-02549-0036,59 KENT ST,BROOKLYN,11222
622,1013680005,405 EAST 56 STREET,New York,10022
623,1008720035,166 3 AVENUE,New York,10003
624,3-06731-0039,1280 East 12th Street,Brooklyn,11230
625,1015270028,1571 2 AVENUE,New York,10028
626,1005720038,20 5 Avenue,New York,10011
627,3002210020,80 Cranberry Street,Brooklyn,11201
628,1015340012,217 EAST 88 STREET,New York,10128
629,1013620012,20 Beekman Place,New York,10022
630,1011210017,25 West 68 STREET,New York,10023
631,1013120033,157 EAST 57 STREET,New York,10022
632,1018750036,892 AMSTERDAM AVENUE,New York,10025
633,1008910039,165 EAST 35 STREET,New York,10016
634,1010290036,910 7 AVENUE,New York,10019
635,1011430060,166 WEST 72 STREET,New York,10023
636,1008940032,137 EAST 38 STREET,New York,10016
637,1008160042,92 5 AVENUE,New York,10011
638,1010080008,139 WEST 55 STREET,New York,10019
639,1011440056,160 WEST 73 STREET,New York,10023
640,1012160140,120 WEST 86 STREET,New York,10024
641,1013000050,140 EAST 46 STREET,New York,10017
642,1007720018,235 WEST 22 STREET,New York,10011
643,1015680001,1700 1 AVENUE,New York,10128
644,1014240010,219 EAST 69 STREET,New York,10021
645,3-06622-0001,130 Avenue P,Brooklyn,11204
646,2028440021,1465-1477 Townsend Ave,Bronx,10452
647,2028450020,1550 Townsend Ave,Bronx,10452
648,3-07344-0020,2134 Homecrest Ave,Brooklyn,11229
649,1012170057,162-168 West 87th Street,New York,10024
650,2-02465-0034,114 East 168 Street,Bronx,10452
651,2-03162-0001,2150 Creston Avenue,Bronx,10453
652,2-03318-0060,2763 Morris Ave,Bronx,10468
653,4-01476-0052,37-43 88th Street,Jackson Heights,11372
654,3-07299-0071,2387 Ocean Avenue,Brooklyn,11229
655,3-06826-0077,2285 Ocean Avenue,Brooklyn,11229
656,3-06663-0023,1755 Ocean Parkway,Brooklyn,11223
657,3-06738-0024,1270 East 19th Street,Brooklyn,11230
658,3-07380-0071,2245 E. 19th Street,Brooklyn,11229
659,1-02175-0128,30 Dongan Pl,New York,10040
660,1-02136-0190,91 Fort Washington Avenue,New York,10032
661,1-02175-0033,105 Arden Street,New York,10040
662,3-06622-0026,1648 West 9th Street,Brooklyn,11223
663,3-06825-0027,2306 Ocean Ave,Brooklyn,11229
664,,1675 West 9th St,Brooklyn,11223
665,,70 Dahill Road,Brooklyn,11218
666,,676 Riverside Drive,New York,10031
667,1017560024,2081 Madison Avenue,New York,10037
668,2025280011,1212 University Ave,Bronx,10452
669,2023710017,1138 Washington Ave,Bronx,10456
670,3017107501,1825 Atlantic Ave,Brooklyn,11233
671,3035890001,211 Riverdale Avenue,Brooklyn,11212
672,2025270055,220 W 167th St,New York,10452
673,2025270050,240 West 167th Street,Bronx,10452
674,2-03056-0027,561 East 187th Street,Bronx,10458
675,3-00760-0036,4600 9th Avenue,Brooklyn,11220
676,3-06568-0015,1314 Ocean Parkway,Brooklyn,11230
677,2-04222-0093,1545 Rhinelander Avenue,Bronx,10461
678,3-06578-0079,1365 WEST 7th   STREET,Brooklyn,11204
679,3-08717-0096,3031 BRIGHTON 14 STREET,Brooklyn,11235
680,1-00789-0044,202 WEST 40th   STREET,New York,10018
681,3-05221-0073,2105 FOSTER AVENUE,Brooklyn,11210
682,3-05164-0037,485 EAST 21st   STREET,Brooklyn,11226
683,1-02180-0096,21 Bennett Av.,New York,10033
684,1020260029,2400 Seventh Avenue,New York,10030
685,1018230018,60 St. Nicholas Avenue,New York,10026
686,1020320043,210 West 147th Street,New York,10039
687,1020360061,2844 Eighth Avenue,New York,10039
688,1020390001,2890 Eighth Avenue,New York,10039
689,1020460007,301 West 150th Street,New York,10039
690,1020460063,2855 Eighth Avenue,New York,10039
691,2026690009,970 Tinton Avenue,Bronx,10456
692,2026690047,981 Union Avenue,Bronx,10459
693,2029030003,445 East 171st Street,Bronx,10457
694,2030460003,2028 Washington Avenue,Bronx,10457
695,2037760044,1590 East 172nd Street,Bronx,10472
696,1-01089-7502,606/610/620 W 42nd st,New York,10036
697,1007010062,316 11th Avenue,New York,10001
698,2045960022,3254 White Plains Road,Bronx,10467
699,2-04321-0042,782 Pelham Pkwy South,Bronx,10462
700,2-05047-0014,4382 Furman Avenue,Bronx,10466
701,2-04594-0040,3225 Olinville Avenue,Bronx,10467
702,2-03250-0087,2855 Claflin Avenue,Bronx,10467
703,2-03328-0102,3563 Bainbridge Avenue,Bronx,10467
704,2-03324-0117,3444 Knox Place,Bronx,10467
705,,2939 Ocean Avenue,Brooklyn,11235
706,,1501 Ocean Parkway,Brooklyn,11230
707,,1837 E 17th Street,Brooklyn,11229
708,,85-16 Park Lane South,Queens,11421
709,2-02805-0012,110 Mount Hope Place,Bronx,10453
710,2-03253-0023,2704 Kingsbridge Terrace,Bronx,10463
711,3-05872-0071,333 Ovington,Brooklyn,11209
712,"3044520135,3044520015;3044520125;3044520060;3044520325;3044350050;3044350001;3044520085;3044520001;3044520020;3044520200;3044350050;3044520105;3044520010; 3044520040",155 Elmira Loop,Brooklyn,11239
713,3-01373-0025,1444 Park Place,Brooklyn,11213
714,3-06739-0030,1233 East 19th Street,Brooklyn,11230
715,3-06754-0052,1485 East 16th Street,Brooklyn,11230
716,,1469 BEDFORD AVENUE,BROOKLYN,11216
717,,3716 THIRD AVENUE,BRONX,10456
718,,165 CONOVER STREET,BROOKLYN,11231
719,,792 STERLING PLACE,BROOKLYN,11216
720,3-06501-0013,334 Foster Ave,Brooklyn,11230
721,3-05417-0007,629 Ocean Parkway,Brooklyn,11230
722,3-05474-7502,1840 52nd street,Brooklyn,11204
723,3001807501,560 State Street,Brooklyn,11217
724,3-05468-7501,1845 52nd Street,Brooklyn,11204
725,4-10820-0068,91-60 193 Street,Hollis,11423
726,1003030025,61 Chrystie St,Queens,11354
727,2-02689-0009,860 EAST 161 STREET,Bronx,10459
728,2-02850-0040,1770 TOWNSEND AVENUE,Bronx,10453
729,1-01849-0023,14 Morningside Ave,New York,10026
730,2-04321-0005,2150 Wallace Avenue,Bronx,10462
731,2-02487-0042,1111 Gerard Ave,Bronx,10452
732,4-09693-0001,88-25 148 Street,Jamaica,11435
733,2-02861-0057,1726 Davidson Avenue,Bronx,10453
734,2-03933-0070,2112 Starling Ave,Bronx,10462
735,2-04087-0033,1541-1551 Williamsbridge Rd.,New York,10461
736,1-02142-0001,250 Fort Washington Ave,New York,10032
737,1-02057-0039,260 Convent Ave,New York,10031
738,1-02142-0089,280 Fort Washington Ave,New York,10032
739,1-02142-0058,647-651 West 171st St.,New York,10032
740,1-01229-0008,251 West 81st St. aka 2261 Broadway,New York,10024
741,1-02107-0072,929-935 St. Nicholas Ave,New York,10032
742,1-01870-0056,250 West 99th Street,New York,10025
743,1-01958-0001,410 Saint Nicholas Ave,New York,10027
744,2-03866-0049,1349 Stratford Avenue,Bronx,10472
745,2-03271-0132,3816 Review Place,Bronx,10463
746,1-02248-0092,128-148 Seaman Avenue,Manhattan,10034
747,1-01820-0061,1809 7 Ave.,Manhattan,10026
748,2-03044-0040,495 East 178th Street,Bronx,10457
749,2-02508-0026,1045 Anderson Avenue,Bronx,10452
750,2-02765-0140,1230-34 Spofford Avenue,Bronx,10474
751,2-02510-0074,1201 Shakespeare Avenue,Bronx,10452
752,1-00792-7504,101 7th Ave,New York,10011
753,1-01419-7501,250 E 65th Street,New York,10065
754,2-05409-0041,1130 Stadium Avenue,Bronx,10465
755,3-01192-0077,1015 WASHINGTON AVE,Brooklyn,11225
756,3-08713-7501,2 WEST END AVE,Brooklyn,11235
757,3-01192-0085,1035 WASHINGTON AVE,Brooklyn,11225
758,3-01295-0010,150 CROWN ST,Brooklyn,11225
759,3-05357-0005,260 OCEAN PKWY,Brooklyn,11218
760,3-00249-7502,166 Montague Street,Brooklyn,11201
761,4-01518-0040,42-42 JUDGE STREET,Elmhurst,11373
762,3-05357-0030,300 OCEAN PKWY,Brooklyn,11218
763,3-06447-0001,8814 BAY PKWY,Brooklyn,11214
764,3-06497-0044,901 AVENUE H,Brooklyn,11230
765,3-06568-0033,1360 OCEAN PKWY,Brooklyn,11230
766,3-08683-0080,3111 BRIGHTON 1 PL,Brooklyn,11235
767,3-08690-7501,3145 BRIGHTON 4 ST,Brooklyn,11235
768,3-08717-7501,1151 BRIGHTON BEA AVE,Brooklyn,11235
769,3-08721-0350,1120 BRIGHTON BEA AVE,Brooklyn,11235
770,3-08722-0474,1150 BRIGHTON BEA AVE,Brooklyn,11235
771,4-16226-0062,160 Beach 117th Street,Far Rockaway,11694
772,3-05213-0024,411 EAST 26 ST,Brooklyn,11226
773,3-06783-0010,2020 KINGS HGWY,Brooklyn,11229
774,3-05045-0059,105 WINTHROP ST,Brooklyn,11225
775,3-05084-0015,110 LENOX RD,Brooklyn,11226
776,3-08723-7501,200 CORBIN PL,Brooklyn,11235
777,3-07242-7501,611 BANNER AVE,Brooklyn,11235
778,3-01403-0055,1745 PRESIDENT ST,Brooklyn,11213
779,3-06748-0040,1854 OCEAN AVE,Brooklyn,11230
780,3-05049-0048,210 WINTHROP STREET,Brooklyn,11225
781,2-02534-0003,1370 University Ave,Bronx,10452
782,2-04820-0028,3950 Bronx Blvd,Bronx,10466
783,1-01969-0029,419 West 129th Street,New York,10027
784,2-05705-0025,3136 Godwin Terrace,Bronx,10463
785,1-01945-0001,40 Morningside Avenue,New York,10026
786,2-03303-0012,2980 Valentine Avenue,Bronx,10458
787,1-02068-0013,445 West 153rd Street,New York,10031
788,1-00277-7501,60 Henry Street,New York,10002
789,1-00274-7502,148 Madison Street,New York,10002
790,1-00237-7501,132 Mulberry Street,New York,10013
791,4-05051-0020,144-35 Sanford Avenue,Flushing,11355
792,4-05180-0022,140-20 Sanford Avenue,Flushing,11355
793,2-04321-0042,782 Pelham Pkwy South,Bronx,10462
794,2-05047-0014,4382 Furman Avenue,Bronx,10466
795,2-04594-0040,3225 Olinville Avenue,Bronx,10467
796,2-03250-0087,2855 Claflin Avenue,Bronx,10467
797,2-03328-0102,3563 Bainbridge Avenue,Bronx,10467
798,2-03324-0117,3444 Knox Place,Bronx,10467
799,2-03922-0043,1520 Thieriot Avenue,Bronx,10460
800,2-03336-0001,277 Van Cortlandt Avenue East,Bronx,10467
801,2-03320-0037,2940 Grand Concourse,Bronx,10458
802,2-02577-0038,480 Concord Avenue,New York,10455
803,2-03314-0051,2701 Grand Concourse,New York,10468
804,2-03801-0001,2010 Powell Ave,Bronx,10472
805,2-02829-0001,1970 Walton Ave,New York,10453
806,1-02163-0044,4240 Broadway,New York,10036
807,1-02095-0023,611-617 W 148 St,New York,10031
808,3-07269-7501,2955 Shell Road,Brooklyn,11224
809,2-03333-0063,333 EAST MOSHOLU PARKWAY,BRONX,10467
810,2-02528-0019,150-160 West 168th Street,Bronx,10452
811,1-01943-7503,304 West 117th Street,New York,10026
812,2-02840-0038,15 East Clarke Place,Bronx,10452
813,2-03169-0009,2078-84-90 Morris Avenue,Bronx,10453
814,2-02840-0022,35 East Clarke Place,Bronx,10452
815,1-02030-0010,259 West 144th Street,New York,10039
816,2-02674-0021,582-588 Union Avenue,Bronx,10455
817,2-02607-0072,1051-1057-1061-1065 Boston Road,Bronx,10456
818,2-02284-0062,277-285 Brook Avenue,Bronx,10454
819,2-03246-0080,3890 Sedgwick Ave.,Bronx,10463
820,2-03324-0013,66 West Gun Hill Road,Bronx,10467
821,2-04325-0001,2155 Paulding Avenue,Bronx,10462
822,2-03318-0023,2800 Jerome Avenue,Bronx,10468
823,2-03356-0126,3536 Hull Avenue,Bronx,10467
824,2-02879-0080,1834 Phelan Place,Bronx,10453
825,2-03344-0005,3510 Bainbridge Avenue,NY,10467
826,2-02801-0001,1840 Grand Concourse,Bronx,10457
827,2-03316-0013,2690 Morris Avenue,Bronx,10468
828,2-04289-0020,764-768 Brady Avenue,Bronx,10462
829,2-04287-0001,2081 Cruger Avenue,Bronx,10462
830,2-04289-0035,754-756 Brady Avenue,Bronx,10462
831,2-04289-0050,758-760 Brady Avenue,Bronx,10462
832,2-04289-0015,762 Brady Avenue,Bronx,10462
833,2-05780-7501,445 West 240th St,Bronx,10463
834,2-05783-0300,511 West 232nd St,Bronx,10463
835,2-05725-0767,609 Kappock St,Bronx,10463
836,2-05795-0518,3530 Henry Hudson Pkwy,Bronx,10463
837,2-05891-1601,6300 Riverdale Ave,Bronx,10471
838,2-05864-0526,6535 Broadway,Bronx,10471
839,2-03281-0001,325 East 201st Street,Bronx,10458
840,1-02221-7501,571-581 Academy Street,New York,10034
841,2-05787-0148,3260 Netherland Avenue,Bronx,10463
842,2-05785-0284,3235 Cambridge Avenue,Bronx,10463
843,1-01880-7501,200 West 109th Street,NY,10025
844,2-03740-0005,1100 Elder Avenue,Bronx,10472
845,2-05771-7501,3636 Fieldston Road,Bronx,10463
846,,2704 University Ave,Bronx,10468
847,3-00918-0052,637 41st Street,Brooklyn,11232
848,1-01768-0033,2182 3rd Avenue,New York,10035
849,4-09762-0001,88-25 153 Street,Jamaica,11432
850,2033180007,5 East 196 Street,Bronx,3318
851,2024530030,1210 Sherman Ave.,Bronx,10456
852,2028000013,176 East 176th Street,Bronx,10457
853,2-03315-0098,2781 Grand Concourse,Bronx,10468
854,2-02835-0016,1515 Grand Concourse,Bronx,10452
855,2-02452-0054,230 East 167th Street,Bronx,10456
856,2024520015,1136 Sherman Avenue,Bronx,10456
857,2025320015,1344 University Avenue,Bronx,10452
858,2031560027,2055 Anthony Avenue,Bronx,10457
859,2024530035,1226 Sherman Avenue,Bronx,10456
860,2024310001,1230 Teller Avenue,Bronx,10456
861,2-03324-0019,3425 Gates Place,Bronx,10467
862,2024530041,1240 Sherman Avenue,Bronx,10456
863,2028090005,1916 Grand Concourse,Bronx,10457
864,2028790253,1860 Billingsley Terrace,Bronx,10453
865,2031590001,2300 Grand Concourse,Bronx,10458
866,2024890054,1265 Gerard Avenue,Bronx,10452
867,2-03315-0094,2791 Grand Concourse,Bronx,10467
868,2032150008,2609 Aqueduct Avenue,Bronx,10468
869,2027430030,1057 Hoe Avenue,Bronx,10459
870,2033450011,3136 Perry Avenue,Bronx,10467
871,2028080062,161-165 East 179th Street,Bronx,10467
872,2033160033,60 East 196th Street,Bronx,10468
873,2033330001,323 East Mosholu Parkway North,Bronx,10467
874,2025320026,190 West 170th Street,Bronx,10452
875,2-03285-0001,2952-54 Marion Avenue,Bronx,10458
876,2-04835-0018,667 East 232nd Street,Bronx,10466
877,2-03926-0024,1562 Theriot Avenue,Bronx,10460
878,2-03926-0031,1580 Theriot Avenue,Bronx,10460
879,2-03288-0035,2735-37 Marion Avenue,Bronx,10458
880,2032480143,135 W Kingsbridge,Bronx,10468
881,3-05059-0022,100 Woodruff Ave,Brooklyn,11226
882,3-05026-0028,135 Ocean Ave,Brooklyn,11225
883,3-05058-0016,20 Woodruff Ave,Brooklyn,11226
884,3-05026-0350,231 Ocean Ave,Brooklyn,11225
885,3-05062-0014,395 Ocean Ave,Brooklyn,11226
886,3-05062-0001,417 Ocean Ave,Brooklyn,11226
887,3-05099-0123,550 Ocean Avenue,Brooklyn,11226
888,3-05058-0044,33 Crooke Ave,Brooklyn,11226
889,2-02456-0001,1050 Carroll Place,Bronx,10456
